# id    npts   len        ngal1   ngal2   lum1       lum2       xmin        ymin       zmin        xlen      ylen      zlen     
  1     50     24.79233   17      22      24.57267   40.0727    -129.6424   270.9492   -158.419    17.973    13.9086   6.473    
  2     91     45.27145   21      25      30.94775   36.40735   -128.902    170.8729   -120.6515   14.5126   38.6592   11.6064  
  3     45     22.22408   20      28      5.85904    8.98754    49.3403     87.3381    -55.7966    6.2917    10.4606   17.6116  
  4     76     37.63754   27      29      21.99701   25.18903   -46.7896    134.5981   41.3708     7.2435    30.4136   9.6168   
  5     33     16.22003   18      25      7.33863    11.01842   -32.2467    75.1802    -15.8639    1.7964    15.4063   3.3187   
  6     106    52.68962   36      44      31.39603   38.41056   136.5863    119.0104   -29.94      13.3445   10.0366   46.2526  
  7     56     27.61455   24      27      22.29934   25.21895   165.0079    118.4295   -21.2941    8.8155    13.466    18.1341  
  8     70     34.68811   41      48      54.4007    64.59404   -37.7859    247.9448   -9.577      22.9127   7.6488    22.2611  
  9     103    51.30831   44      46      40.50671   41.86371   -57.9911    203.778    28.9683     39.9955   26.7551   10.6946  
  10    32     15.59184   8       13      3.41566    6.07339    70.9054     54.3305    -7.6013     11.9277   3.1544    7.7254   
  11    25     12.11098   7       9       7.70983    8.74784    -47.1773    132.9887   -87.2966    0.4788    11.678    2.9007   
  12    62     30.86892   20      25      19.44398   26.31851   -74.3758    186.7922   102.9344    5.8876    26.4996   11.121   
  13    51     25.11552   14      15      20.42827   22.28163   121.518     223.9318   126.2652    7.7433    11.8821   19.3065  
  14    82     40.97962   28      31      41.24375   44.39855   193.713     166.8793   71.2775     9.7232    4.467     35.422   
  15    81     40.26797   31      40      32.62624   43.9224    129.6533    204.4913   116.0107    9.7832    12.0241   30.8108  
  16    40     19.72687   15      21      16.44148   27.18168   -191.816    128.5462   -84.4185    2.3785    14.4228   11.3445  
  17    26     12.656     3       15      1.40927    7.51897    55.5596     116.5513   17.7087     10.5497   5.3313    1.8016   
  18    44     21.63812   13      18      12.72156   17.24189   -95.9465    183.062    -138.0375   3.6777    18.2774   6.0773   
  19    25     12.15338   6       13      12.48684   26.44674   200.2735    261.3504   -147.487    6.0853    6.8484    7.5582   
  20    45     22.39054   16      18      4.14203    5.47533    -79.1385    99.1106    -6.7671     3.1823    11.2056   17.8009  
  21    88     43.77588   38      42      28.15693   30.7067    140.9405    86.018     -41.9203    7.8857    27.1978   29.1001  
  22    40     19.59921   12      20      14.13513   19.7308    48.8713     188.2857   -110.4182   5.321     8.1095    15.9249  
  23    86     43.13632   46      54      45.47908   53.23187   73.7481     183.7508   37.8157     17.5406   4.9448    35.9629  
  24    29     14.07277   12      12      14.87902   14.87902   88.6559     149.8033   81.9684     2.9743    12.0528   5.5967   
  25    52     25.6484    18      20      17.77799   18.83639   76.4149     188.4667   102.3172    7.7601    10.9848   20.4832  
  26    49     24.25176   19      21      30.52953   33.06321   189.7055    189.7792   83.5636     8.9455    6.411     20.5147  
  27    44     21.75778   12      16      8.23824    10.68244   -39.3137    207.0305   27.5671     7.7814    7.0231    16.9098  
  28    51     25.40169   29      38      22.21819   27.0339    -115.3901   102.0574   -38.3398    2.6029    9.5962    22.1104  
  29    36     17.68421   13      16      11.25511   14.87681   19.2084     186.0915   12.8823     4.3363    1.547     16.6178  
  30    43     21.07217   13      22      10.79589   19.34603   -164.0155   143.8156   -48.7121    4.4349    9.0521    17.5467  
  31    46     22.88743   26      34      29.94184   37.20665   -172.6278   179.1265   -81.1425    7.4183    5.3173    20.4732  
  32    64     31.84203   31      40      32.52419   51.83052   143.4238    215.9945   -44.6854    9.9273    6.3392    28.3598  
