subid,grpid,sh_x,sh_y,sh_z,fof_x,fof_y,fof_z,mstar,fof_mass,dist
1145491,27000000000000,6.0888968,74.65397,48.414253,5.717667,75.61041,47.477654,8.1732104E7,5.52521169E14,1.929815225901848
1153924,27000000000000,5.396112,74.24348,49.028824,5.717667,75.61041,47.477654,1.87915712E8,5.52521169E14,4.378040448428692
2631022,27000000000000,5.5012474,75.26009,47.52349,5.717667,75.61041,47.477654,2.05510369E10,5.52521169E14,0.17166189040676727
2631558,27000000000000,6.0976963,75.84618,47.416058,5.717667,75.61041,47.477654,1.62583388E10,5.52521169E14,0.20380429989950244
2632003,27000000000000,5.874624,76.01387,47.24675,5.717667,75.61041,47.477654,1.05509786E10,5.52521169E14,0.24072994992548047
2632460,27000000000000,6.7081876,75.67665,48.01256,5.717667,75.61041,47.477654,1.53484503E10,5.52521169E14,1.2716452257300261
2633227,27000000000000,6.577609,75.91459,46.265446,5.717667,75.61041,47.477654,7.0600407E9,5.52521169E14,2.3014711498747147
2633736,27000000000000,3.080688,73.99744,48.00986,5.717667,75.61041,47.477654,9.5161262E9,5.52521169E14,9.83859541748916
2634457,27000000000000,5.922928,76.47023,46.754227,5.717667,75.61041,47.477654,8.8471716E9,5.52521169E14,1.304764480912354
2635237,27000000000000,4.102453,73.56991,47.59083,5.717667,75.61041,47.477654,3.26686413E9,5.52521169E14,6.785383599255738
2635686,27000000000000,6.1097307,76.13813,48.18531,5.717667,75.61041,47.477654,1.15452969E10,5.52521169E14,0.9329779674774272
2636274,27000000000000,6.6020803,76.88094,47.86127,5.717667,75.61041,47.477654,8.966569E9,5.52521169E14,2.5435973550504514
2637530,27000000000000,5.503017,75.09109,46.65477,5.717667,75.61041,47.477654,6.5786081E9,5.52521169E14,0.9929108394944706
2638164,27000000000000,5.6504645,75.157974,47.87961,5.717667,75.61041,47.477654,1.23411866E10,5.52521169E14,0.370784191131861
2638767,27000000000000,5.5620728,76.207825,48.72422,5.717667,75.61041,47.477654,6.9953347E9,5.52521169E14,1.9350395480435054
2639261,27000000000000,5.888245,76.87593,48.244038,5.717667,75.61041,47.477654,4.3697413E9,5.52521169E14,2.2179777671262855
2639744,27000000000000,6.892608,75.19831,46.41716,5.717667,75.61041,47.477654,4.16048307E9,5.52521169E14,2.6749607483807267
2642274,27000000000000,4.882665,76.953896,45.3637,5.717667,75.61041,47.477654,4.7432095E9,5.52521169E14,6.97097049315289
2642562,27000000000000,3.472418,74.06932,47.463345,5.717667,75.61041,47.477654,5.1833974E9,5.52521169E14,7.416312268172135
2642937,27000000000000,6.2462907,75.83616,47.953636,5.717667,75.61041,47.477654,1.36463913E10,5.52521169E14,0.556963715065649
2643740,27000000000000,2.611917,73.470055,47.530693,5.717667,75.61041,47.477654,2.89032141E9,5.52521169E14,14.229629022579502
2644016,27000000000000,2.377686,73.96167,48.100353,5.717667,75.61041,47.477654,9.3009213E9,5.52521169E14,14.261580982842133
2644584,27000000000000,7.6132517,76.20924,46.343914,5.717667,75.61041,47.477654,2.19396582E9,5.52521169E14,5.237204879726278
2645305,27000000000000,6.995439,76.671425,47.10555,5.717667,75.61041,47.477654,5.137835E9,5.52521169E14,2.896910055264925
