#OK
#SQL=  
#		                               SELECT   
#		                                        SH.GalaxyID as id,
#		                                        SH.CentreOfMass_x as x,
#		                                        SH.CentreOfMass_y as y,
#		                                        SH.CentreOfMass_z as z,                       
#			                                ape.Mass_Star as Mstar,
#	                                                G.GroupCentreOfPotential_x as g_x,
#			                                G.GroupCentreOfPotential_y as g_y,
#			                                G.GroupCentreOfPotential_z as g_z,
#			                                G.Group_M_Crit200 as M,
#			                                G.Group_R_Crit200 as R,
#			                                G.GroupID as grpid,
#	                                                G.NumOfSubhalos as Num
#			                        FROM 
#			                                RefL0100N1504_FOF as G,
#		                                        RefL0100N1504_Subhalo as SH,
#	                                                RefL0100N1504_Aperture as ape,
#	                                                RefL0100N1504_Magnitudes as mg
#			                        WHERE 
#			                	        G.SnapNum = 27 
#			                                and G.GroupMass > POWER(10.0,12.5)
#			                                and G.NumOfSubhalos>=4
#	                                                and SH.Spurious=0
#		                                        and G.GroupID = SH.GroupID
#	                                                and mg.GalaxyID = SH.GalaxyID
#	                                                and ape.ApertureSize = 30
#	                                                and ape.Mass_Star > POWER(10.0,8.5)
#	                                                and ape.GalaxyID = SH.GalaxyID
#	
#			                        ORDER BY 
#			                			    G.Group_M_Crit200 
#		
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 4451 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=Mstar JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=g_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=g_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=g_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=M JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=R JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=grpid JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 12 name=Num JDBC_TYPE=4 JDBC_TYPENAME=int
id,x,y,z,Mstar,g_x,g_y,g_z,M,R,grpid,Num
2561024,94.94901,12.454958,98.50125,5.7886842E8,95.200035,12.437111,98.18636,8.0600203E11,189.88432,27000000000584,133
2560296,95.500946,12.389914,98.13844,8.1952026E9,95.200035,12.437111,98.18636,8.0600203E11,189.88432,27000000000584,133
8565187,95.776085,12.333645,98.1745,4.3065836E9,95.200035,12.437111,98.18636,8.0600203E11,189.88432,27000000000584,133
17014996,94.84169,12.092115,98.14173,3.4456322E10,95.200035,12.437111,98.18636,8.0600203E11,189.88432,27000000000584,133
8563943,95.21774,12.382122,98.17635,1.0244183E10,95.200035,12.437111,98.18636,8.0600203E11,189.88432,27000000000584,133
8564830,95.206604,12.429188,98.18692,1.79468275E9,95.200035,12.437111,98.18636,8.0600203E11,189.88432,27000000000584,133
603627,47.898582,78.64708,9.606871,7.1344947E8,48.121876,78.980354,9.776789,1.00674627E12,204.49481,27000000000506,156
13277309,47.485077,78.70632,9.477067,2.63487037E10,48.121876,78.980354,9.776789,1.00674627E12,204.49481,27000000000506,156
13279050,48.063896,78.9532,9.768957,3.36431616E10,48.121876,78.980354,9.776789,1.00674627E12,204.49481,27000000000506,156
13284138,47.780354,78.875305,10.001443,1.59759831E10,48.121876,78.980354,9.776789,1.00674627E12,204.49481,27000000000506,156
53177132,47.88665,78.6917,9.650177,8.1798586E8,48.121876,78.980354,9.776789,1.00674627E12,204.49481,27000000000506,156
2767026,14.878211,29.265207,61.68677,2.69944602E9,14.617035,29.320082,61.59803,1.30396979E12,222.91782,27000000000482,191
2767283,14.992565,29.21941,61.876495,2.02244954E9,14.617035,29.320082,61.59803,1.30396979E12,222.91782,27000000000482,191
29858303,15.389633,29.414793,62.42207,4.23029811E9,14.617035,29.320082,61.59803,1.30396979E12,222.91782,27000000000482,191
17671105,14.656179,29.29576,61.608837,2.64930468E10,14.617035,29.320082,61.59803,1.30396979E12,222.91782,27000000000482,191
58924872,15.241874,29.478773,62.400864,1.9053545E9,14.617035,29.320082,61.59803,1.30396979E12,222.91782,27000000000482,191
2904138,14.951954,29.52452,62.074314,4.33181216E8,14.617035,29.320082,61.59803,1.30396979E12,222.91782,27000000000482,191
8806616,15.34574,29.407423,62.446404,2.46995538E10,14.617035,29.320082,61.59803,1.30396979E12,222.91782,27000000000482,191
