id,x,y,z,g_x,g_y,g_z,M,R,grpid
53239192,95.8459,66.87913,34.7253,95.84759,66.878136,34.72581,1.04394516E10,44.59341,27000500004307
820854,56.17849,56.17793,44.49001,56.178963,56.175316,44.491642,1.7398442E10,52.873814,27000400000237
60416749,70.71544,65.03153,97.179955,70.79123,64.92308,97.144066,1.8633644E10,54.094795,27000200001091
7015324,97.93415,68.8882,35.640503,97.92739,68.88331,35.641014,2.03821793E10,55.7348,27000300004903
5362894,87.72917,50.043507,3.1317465,87.72801,50.042698,3.128527,2.3221164E10,58.21248,27000100004335
62977001,87.76955,50.158,3.2402005,87.72801,50.042698,3.128527,2.3221164E10,58.21248,27000100004335
556702,6.7850113,34.02592,52.746197,6.786349,34.025784,52.747128,2.49315205E10,59.60922,27000200000199
2044831,20.010847,62.83367,14.247643,20.01062,62.840748,14.249267,2.52297196E10,59.843216,27000100003818
646986,58.491055,89.50282,41.60797,58.490395,89.50326,41.60973,2.77700137E10,61.789143,27000100007131
7855146,33.641705,92.90289,0.9360568,33.64166,92.90209,0.9382891,2.91996549E10,62.83109,27000100003879
7458188,28.983788,78.49413,61.32419,28.982067,78.49299,61.324394,2.92859658E10,62.89239,27000300006826
7021937,8.407928,32.71699,52.292736,8.40889,32.71468,52.290134,3.01925499E10,63.53487,27000200002446
7011721,50.19161,6.7954936,21.456278,50.19449,6.7967367,21.456081,3.08276204E10,63.978256,27000200007376
6498345,95.634094,69.97356,62.36906,95.63377,69.97461,62.367752,3.1108438E10,64.171074,27000200002981
628809,75.7547,22.057219,30.908564,75.75479,22.05643,30.90805,3.18419149E10,64.67423,27000200005662
6336948,47.58116,76.79289,9.239353,47.58079,76.78914,9.237262,3.1952937E10,64.74896,27000200003194
6183062,5.0319366,73.3392,48.6872,5.0344453,73.34071,48.687675,3.24444037E10,65.07618,27000200005086
7286119,37.87119,95.601,96.17823,37.870117,95.60072,96.17718,3.34325821E10,65.73472,27000200002943
6917729,50.21305,5.38297,17.80938,50.213688,5.379674,17.807745,3.35972372E10,65.83972,27000100007117
6181138,14.867043,77.26812,44.15553,14.864945,77.26669,44.155155,3.4753364E10,66.58905,27000200003649
2047452,2.0286982,79.65795,43.175613,2.1225495,79.58688,42.9534,3.4982035E10,66.72961,27000100001334
973970,58.50042,86.54904,24.447393,58.500626,86.550674,24.449163,3.5017175E10,66.752846,27000200005115
6257233,85.4773,47.532017,27.206936,85.4771,47.530727,27.20522,3.5309912E10,66.9418,27000200003252
660840,73.83824,9.167246,90.323524,73.84315,9.163774,90.320366,3.545129E10,67.02886,27000100005215
