id,xslice,yslice,SM,x,Metal,y,z
2,-37.6954,  0.9520,73399960000.0000, 11.0045,  0.0223, 81.2357, 54.7311
13632,-30.5230,  0.1241,72288838000.0000, 17.9992,  0.0234, 79.9481, 53.4060
21794,-37.4985,  0.6095,42610799000.0000, 11.1985,  0.0234, 80.8858, 54.7863
23302,-37.4953,  0.3721,45890937000.0000, 11.1793,  0.0334, 80.5905, 54.7433
24478,-30.6007,  0.0467,25318631400.0000, 17.9053,  0.0157, 79.8287, 53.3584
26264,-30.4032, -0.1476,36624663000.0000, 18.2082,  0.0327, 79.9072, 53.8781
27474,-37.4934,  0.5167,27707922400.0000, 11.2666,  0.0175, 80.9562, 55.1027
28851,-30.6568,  0.2205,30818492400.0000, 17.8327,  0.0301, 79.9597, 53.2424
29818,-36.6105,  0.3170,24412020700.0000, 12.1092,  0.0247, 80.6521, 54.8788
30903,-29.6575,  0.3291,20266199000.0000, 18.6819,  0.0126, 79.6798, 52.4178
32367,-29.6056,  0.6240,19582564400.0000, 18.7949,  0.0225, 80.1328, 52.6206
33116,-30.3764,  0.4682,13551981600.0000, 18.0641,  0.0213, 80.0804, 52.9228
33641,-36.4107, -0.3008,13899153400.0000, 12.3551,  0.0220, 80.1535, 55.2319
34157,-30.5693, -0.0783,31275702300.0000, 17.9873,  0.0244, 79.8345, 53.6222
35658,-31.0922,  0.2781,23483746300.0000, 17.2249,  0.0224, 79.5709, 52.4698
36469,-32.3023, -0.8675,11182698500.0000, 16.0697,  0.0212, 78.5676, 53.1401
37177,-30.1885,  0.6705,22967476200.0000, 18.3309,  0.0232, 80.4873, 53.2191
37879,-38.1871,  0.6129,19705598000.0000, 10.5932,  0.0230, 81.1051, 55.2414
38548,-36.6395,  1.5106,8757638100.0000, 11.7960,  0.0206, 81.1100, 53.2544
38952,-30.3792,  0.0335,18503469100.0000, 18.1740,  0.0159, 79.9376, 53.5587
40905,-38.7430,  0.3563,12835824600.0000, 10.1884,  0.0187, 81.2395, 56.0643
41635,-38.4500, -0.5444,8436896800.0000, 10.1772,  0.0197, 79.5513, 54.8538
42234,-39.3876,  1.2312,20780314600.0000,  9.4876,  0.0250, 81.9689, 55.6423
43262,-32.7918, -0.9506,21991327700.0000, 15.4625,  0.0283, 78.1799, 52.6636
44049,-29.8561,  0.0941,15288461300.0000, 18.7586,  0.0195, 80.1575, 53.7770
44842,-38.0894,  0.8851,15665563600.0000, 10.7633,  0.0215, 81.5645, 55.4975
45652,-36.6281,  1.2280,5356416000.0000, 12.1428,  0.0173, 81.6955, 54.8837
46460,-32.9573, -1.6786,6655713800.0000, 15.4424,  0.0182, 77.8282, 53.5429
47025,-37.8519,  1.1201,16249038800.0000, 10.9453,  0.0241, 81.6559, 55.1558
47680,-39.9619,  1.0452,5144922600.0000,  8.8785,  0.0176, 81.6925, 55.5851
48093,-29.1038, -0.4264,4012383230.0000, 19.4187,  0.0176, 79.3985, 53.4081
48442,-30.4862,  0.0310,15053407200.0000, 17.9778,  0.0176, 79.7043, 53.1558
48897,-36.5929,  1.6650,9110386700.0000, 11.8801,  0.0178, 81.3615, 53.3842
49829,-33.0432, -1.4886,2796273920.0000, 15.0187,  0.0169, 77.1438, 51.9335
50129,-31.3237, -0.9362,9248644100.0000, 17.2432,  0.0167, 79.0034, 53.9660
50759,-39.8024,  1.0744,31564300300.0000,  9.1592,  0.0257, 82.0356, 56.1250
51530,-32.0390,  0.1440,6244685800.0000, 16.3573,  0.0176, 79.6419, 52.9665
51988,-36.3086,  2.1576,6506705400.0000, 12.2815,  0.0179, 82.1571, 53.7729
52523,-30.2160, -0.1050,10966565900.0000, 18.2763,  0.0208, 79.6416, 53.2956
53228,-36.0984,  0.4505,4268648960.0000, 12.4930,  0.0167, 80.4536, 54.1979
54095,-37.8991,  0.6223,8769028100.0000, 10.8882,  0.0183, 81.1324, 55.2424
54528,-37.5484,  0.4036,15000535000.0000, 11.1871,  0.0211, 80.7798, 55.0237
55308,-30.9803, -0.7816,7901290500.0000, 17.6119,  0.0190, 79.2236, 54.0097
