id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_Fe,SF_N,SF_C,SF_H,NSF_O,NSF_H,Stars_O,Stars_N,Stars_C,Stars_Fe,Stars_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag,Y,J,H,K,M_dot,ellip,Kappacorot,ENV,d_long,d_per,d_tot,xslice,yslice
2,73399960000.0,143.42834,0.0,0.0,194394128000.0,73412665000.0,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010770552,0.0009124048,0.0030714818,0.0008335312,0.7045618,11.0045,81.2357,54.7311,19,1112.261772246084,195955081000.0,27000000000004,-18.90722,-20.58092,-21.373377,-21.715055,-22.04008,-22.27546,-22.373243,-22.587181,-22.31224,1.395763e-05,0.6911443034558877,0.7215131386113822,groups,,,,-35.6644,9.5186
13632,72288838000.0,135.42879,0.0,0.0,207612297000.0,72376558000.0,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011140643,0.000938383,0.003243743,0.0009247146,0.7022491,17.9992,79.9481,53.406,8,1492.4680901111421,209392550000.0,27000000000001,-18.893574,-20.596214,-21.397463,-21.740038,-22.071346,-22.318512,-22.422363,-22.639835,-22.368948,3.047167e-07,0.694900685793425,0.5640180656728212,groups,,,,-28.6406,9.049
23302,45890937000.0,120.106865,0.0,0.0,156734407000.0,46032544000.0,0.0334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014745912,0.0018125899,0.005113817,0.0014400396,0.67728204,11.1793,80.5905,54.7433,24,845.4032321915975,176722215000.0,27000000000004,-18.45584,-20.204325,-21.027872,-21.377316,-21.723907,-22.008345,-22.136868,-22.363794,-22.116796,3.5067231e-09,0.7511655065110309,0.49904230955020845,groups,,,,-35.4507,9.967
24478,25318631400.0,85.41016,0.0,0.0,119573864000.0,25326096400.0,0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732704,0.0005297423,0.0026060806,0.0007528764,0.7185696,17.9053,79.8287,53.3584,32,541.8015088572566,120587805000.0,27000000000001,-18.011415,-19.609924,-20.364689,-20.695051,-20.99422,-21.188225,-21.264757,-21.464941,-21.173935,1.3833667e-08,0.5691066206194852,0.6284541895838563,groups,,,,-28.7283,9.104
26264,36624663000.0,114.954056,0.0,0.0,100127212000.0,36627849000.0,0.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014658106,0.001813324,0.0048654918,0.0013333722,0.6787285,18.2082,79.9072,53.8781,30,1274.484895948163,100570669000.0,27000000000001,-17.882116,-19.654703,-20.494904,-20.852001,-21.205654,-21.490925,-21.617289,-21.844654,-21.59427,1.2024394e-07,0.7304773183967042,0.6290952302884039,groups,,,,-28.4176,9.4018
27474,27707922400.0,93.59083,0.0,0.0,118434169000.0,27746691100.0,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008439818,0.000630898,0.0025883773,0.00057706167,0.7148853,11.2666,80.9562,55.1027,37,297.0462926885303,121221784000.0,27000000000004,-17.88634,-19.532106,-20.310762,-20.651312,-20.966654,-21.177755,-21.260424,-21.469604,-21.185755,2.7744674e-08,0.5481111601903461,0.7981582999274304,groups,,,,-35.3765,9.9629
28851,30818492400.0,105.964584,0.0,0.0,97927610000.0,30823675900.0,0.0301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013540718,0.0014914309,0.004643405,0.0012724312,0.685452,17.8327,79.9597,53.2424,37,987.7114330612965,98945122000.0,27000000000001,-17.999907,-19.717684,-20.529078,-20.877296,-21.216864,-21.483212,-21.602186,-21.825844,-21.572077,6.4323875e-09,0.719079533484354,0.5013091418943223,groups,,,,-28.8116,8.9342
29818,24412020700.0,82.933014,0.11599374,560910140.0,121419252000.0,25598025700.0,0.0247,0.081173934,0.08617193,0.029138064,0.010234782,0.0048732855,0.012517369,0.5716993,0.031387087,0.55786234,0.010859672,0.0011443314,0.004045482,0.0013453955,0.69757617,12.1092,80.6521,54.8788,34,500.22026398377744,178652856000.0,27000000000004,-18.382158,-19.91179,-20.644505,-20.960505,-21.267893,-21.511696,-21.617805,-21.825817,-21.567638,3.0489728e-06,0.4119537751523348,0.6602735743287398,groups,,,,-34.523,9.9645
30903,20266199000.0,92.59819,0.0,0.0,201786556000.0,21133815800.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108057,0.00038852813,0.0019196125,0.00061590335,0.7260962,18.6819,79.6798,52.4178,20,717.4503031569503,304661725000.0,27000000000001,-17.95146,-19.484425,-20.209341,-20.532597,-20.81192,-20.977583,-21.041628,-21.230227,-20.934408,1.5462684e-08,0.4666604005798469,0.6572753732548569,groups,,,,-27.9682,8.4899
32367,19582564400.0,79.88064,0.26743457,565139840.0,111736807000.0,20385673200.0,0.0225,0.08730152,0.052324846,0.032733932,0.009199661,0.00545633,0.013401134,0.55679953,0.01745457,0.6423606,0.010007352,0.00096268096,0.0036811451,0.0012032558,0.7030028,18.7949,80.1328,52.6206,34,601.8182605654301,167118373000.0,27000000000001,-18.55389,-19.911715,-20.56395,-20.857983,-21.149288,-21.37554,-21.471954,-21.673256,-21.41423,6.201081e-08,0.4930519258536118,0.5356579809092032,groups,,,,-27.8777,8.3115
