id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
46047,-19.2136, 40.5508,  0.5153,  0.3616,  4.7820,5197140000.0000, 17.5099,  0.0194, 81.4124, 54.1516
49479,-19.8135, 40.0177,  0.0605,  0.5628,  1.8409,3939097600.0000, 17.0555,  0.0170, 81.1037, 53.2626
53604,-20.2372, 40.8507,  0.1963,  1.4375,  1.8409,5765827100.0000, 15.2319,  0.0167, 79.7779, 53.3232
62449,-21.5143, 39.5518,  0.0720,  0.3741,  1.8433,1449514500.0000, 14.7889,  0.0121, 79.7655, 51.4541
64987,-22.3092, 42.8397,  0.6879,  2.0212,  2.3604,1845698180.0000, 12.8381,  0.0109, 81.2707, 53.8654
66590,-23.9129, 46.4768,  0.0094,  1.9498,  2.3984,6840315400.0000,  8.9211,  0.0117, 81.3404, 55.6764
69313,-20.6591, 43.8891,  0.5931,  3.2134,  3.3505,2631864830.0000, 13.5042,  0.0160, 80.8027, 55.6722
70843,-20.7576, 39.2685,  0.2403,  0.3226,  1.5189,2318326780.0000, 14.3975,  0.0157, 77.7116, 51.2479
71505,-20.1825, 44.4994,  0.1030,  2.9514,  3.3505,1013730240.0000, 13.3282,  0.0140, 80.4067, 56.3738
73830,-16.9370, 39.3538,  0.0005,  5.9850,  4.7820,2637324540.0000, 18.0982,  0.0175, 77.6120, 53.8223
77232,-20.4762, 38.3633,  0.4279,  0.0000,  1.5189,3278962940.0000, 17.3076,  0.0171, 80.8601, 51.4667
82601,-16.8174, 39.0507,  0.1141,  5.8395,  4.7820,9713010700.0000, 18.3259,  0.0190, 77.4756, 53.6312
91672,-20.1468, 40.6712,  0.0467,  1.3902,  1.8409,2209663230.0000, 15.1507,  0.0122, 79.3338, 53.1373
93676,-21.5071, 42.4021,  0.5167,  0.5900,  2.3604,1655233920.0000, 13.0483,  0.0112, 79.9203, 53.7342
148139, 40.6046, 36.5341,  0.6180,  0.6954,  3.6953,2551069180.0000, 71.7941,  0.0167, 68.8616, 87.6585
148479, 41.1894, 36.0566,  0.2567,  2.1463,  3.6953,1209709820.0000, 72.4733,  0.0133, 68.5298, 87.5924
148735, 41.6164, 36.7113,  0.0403,  2.3465,  3.6953,2802275840.0000, 71.7667,  0.0123, 67.4362, 88.1313
149094, 41.1483, 37.0788,  0.2935,  2.5560,  3.6953,1684322300.0000, 71.6345,  0.0164, 68.3217, 88.3190
149481, 41.4795, 36.0003,  0.0362,  2.1731,  3.6953,1109811710.0000, 72.6932,  0.0135, 68.3652, 87.7015
149701, 39.9698, 36.2393,  0.0000,  0.0000,  3.6953,5928681000.0000, 71.6771,  0.0174, 69.3654, 87.1253
150576, 41.5466, 36.8517,  0.0404,  2.9625,  3.6953,2561082880.0000, 71.6591,  0.0144, 67.5183, 88.2147
161352, 36.2534, 34.7332,  0.9102,  0.0000,  1.1469,2463917310.0000, 54.5955,  0.0108, 47.2484, 78.2590
188454, 42.9938, 40.4316,  0.4091,  2.3361, 13.4879,2964344320.0000, 63.0430,  0.0160, 55.5792, 89.1666
224092,-33.7877, 19.2173,  1.8681,  0.0000,  2.5232,2245832700.0000, 13.2609,  0.0171, 76.0017, 26.4636
