id,xslice,yslice,SM,x,Metal,y,z
628809, -0.4995,-40.8305,1092157310.0000, 75.7547,  0.0135, 22.0572, 30.9086
2061100, 60.5537,-10.6681,5952214000.0000, 60.1375,  0.0186, 63.3121, 82.9524
2061545, 61.2776,-10.9171,1307038210.0000, 60.0319,  0.0149, 63.1830, 83.7155
2061918, 60.6838,-11.0951,1269969020.0000, 60.0457,  0.0130, 62.9172, 83.1410
2119506,-27.3482,-48.5313,1152456190.0000, 91.1147,  0.0117,  8.2498,  9.7273
2565746, 41.9493,-50.5051,2087820420.0000, 62.9599,  0.0160, 20.3751, 72.5042
2566147, 41.3841,-51.0223,6949066800.0000, 63.6679,  0.0163, 19.6737, 72.2554
2591375, -9.0588, 20.1213,2743294720.0000, 75.9513,  0.0157, 81.7422, 10.0861
2750282, 28.9930, 30.9086,1985581310.0000, 81.0841,  0.0156, 97.2921, 49.0129
2750582, 28.7329, 31.4631,1032140540.0000, 80.6960,  0.0158, 97.8651, 48.5062
2770478, -9.3835, 22.9672,1541822460.0000, 73.0984,  0.0094, 84.9539,  8.2464
2770786, -9.3495, 22.3927,4368459300.0000, 73.1334,  0.0140, 84.3793,  8.4066
2771102, -9.3552, 22.3954,1453877380.0000, 73.0101,  0.0143, 84.3990,  8.3595
2780929, 80.6027,-41.5463,12233202700.0000, 23.4972,  0.0186, 40.6354, 97.6902
2782410, 80.3191,-41.4703,1361696260.0000, 23.6726,  0.0128, 40.6450, 97.4398
2783911,-12.3916,-19.1100,1885209220.0000, 75.7354,  0.0125, 42.0600, 14.3126
2785681, 19.1690, 34.7015,1584432900.0000, 81.6910,  0.0136, 99.5759, 38.3022
2785948, 18.8656, 34.7015,2196682240.0000, 82.1159,  0.0162, 99.4706, 38.1286
2786223, 19.0886, 34.9588,3063121150.0000, 82.4369,  0.0157, 99.7137, 38.4146
2812916,-14.2407,-15.0432,3855235070.0000, 89.1264,  0.0155, 43.9219, 16.0181
2813386,-14.2804,-15.2266,2521752060.0000, 89.2109,  0.0170, 43.7206, 16.0413
2826270, 39.7394,-53.0907,1615579900.0000, 78.3342,  0.0183, 15.2455, 75.8048
2843476, 59.3184,-48.1355,1220023420.0000, 36.0036,  0.0129, 29.1575, 81.1033
2858750, 68.4801, 18.9234,1105376000.0000, 72.4991,  0.0165, 92.2619, 89.3910
2867309, 44.5001,-45.2982,1301211010.0000, 75.4574,  0.0157, 24.1429, 78.2412
2888447, 26.9135, 31.7727,3884954110.0000, 80.5623,  0.0177, 97.9309, 46.5189
2928230,-14.8947,-17.3343,1904675330.0000, 77.9027,  0.0154, 43.1600, 12.0883
2941017, 50.8754,-51.1363,3590925060.0000, 47.5300,  0.0154, 23.2676, 76.7678
2949354, 52.9352,-12.0131,2806650370.0000, 40.2550,  0.0153, 63.7413, 68.7726
2953604, -2.8691, -6.8724,3578565630.0000, 86.0207,  0.0158, 54.1873, 25.1427
2962067,-27.5538,-51.4311,3457584900.0000, 92.0634,  0.0155,  5.1830, 10.4003
2965595, 68.1812,-79.0359,18619439100.0000, 32.7721,  0.0239,  0.0069, 95.3048
2987294, 63.9067, 18.2202,3346320640.0000, 74.9390,  0.0128, 90.5440, 85.6045
3015996, 67.4338, 19.3311,3030527490.0000, 76.9669,  0.0158, 91.8718, 89.7032
3018084,  6.8674, -5.7621,4438299100.0000, 91.3472,  0.0158, 55.9355, 36.7539
3036911, 56.4144, -7.3230,1224343300.0000, 48.4706,  0.0140, 67.7462, 74.1581
3049815, 70.4435,-20.9263,1171704190.0000, 61.9820,  0.0155, 54.2178, 95.8168
3056516, 69.4679, 19.5938,1169537920.0000, 71.8014,  0.0143, 93.1761, 90.0501
3064680, 61.3243,-10.7562,1266503680.0000, 72.4834,  0.0123, 61.5492, 87.8431
3078621, 64.1950, 14.3519,1032522820.0000, 73.0909,  0.0134, 86.9848, 86.0563
3105007, 86.4707,  5.0498,2839968000.0000, 35.2495,  0.0153, 86.3802, 98.4412
3134999, 48.4053,-46.9069,3260312320.0000, 72.8478,  0.0119, 23.4767, 81.7368
3137258, 15.8664,-49.8151,2658000900.0000, 93.2844,  0.0137, 12.9042, 55.3994
3170423, 81.2959, -3.0443,1525911420.0000, 48.9557,  0.0147, 75.5545, 99.2116
3186133,-11.5059,-21.3132,3206084100.0000, 73.3147,  0.0105, 40.3351, 14.8645
3190540,  2.9049, -8.6293,1896312060.0000, 68.8537,  0.0187, 55.7494, 25.7944
3248964, 43.1873, 33.2642,2670977020.0000, 93.1462,  0.0178, 99.9562, 67.2132
3286337, 26.0822,-68.7371,1068881220.0000, 60.2898,  0.0122,  0.2337, 58.8088
3356622, -1.6292, -9.4400,1315521790.0000, 83.7090,  0.0132, 52.1335, 26.1689
3356938, -1.5081, -9.4387,1143439230.0000, 83.8473,  0.0145, 52.1322, 26.3396
3635290,  0.7630,  3.3860,2283902980.0000, 93.9603,  0.0140, 63.8224, 29.4960
3645474, 39.9599,  5.0221,1251673220.0000, 80.2911,  0.0148, 73.1071, 65.2061
3662689,  0.8246, -4.8599,1715939200.0000, 87.5935,  0.0130, 56.5065, 29.0856
3682127, 36.2047, 18.1067,1927927300.0000, 46.3910,  0.0156, 90.5529, 47.5457
3687541, -1.1123, 24.7544,1007594300.0000, 86.6514,  0.0136, 85.9770, 20.9243
3734735, 84.2698, -5.5687,1439411200.0000, 29.6333,  0.0134, 76.2559, 96.4067
3740531, 59.1948,-48.1210,1590234750.0000, 78.7542,  0.0159, 22.9691, 95.0875
3750136,  1.2469,  0.7892,1209136770.0000, 77.9458,  0.0147, 63.6125, 25.2217
3771042, -7.9371,-24.6568,1031038980.0000, 70.1164,  0.0123, 37.9706, 18.1603
3789471, 10.0558,-52.4383,1929348100.0000, 49.2668,  0.0152, 15.8087, 35.3734
3803224, 71.4161, 22.4378,1578555260.0000, 71.1085,  0.0155, 96.4022, 91.2750
3829148,-26.0278,-50.2007,2168320260.0000, 89.9964,  0.0146,  6.9332, 11.0536
3830712,-20.1259, 23.9678,1473983100.0000, 85.5004,  0.0160, 82.6060,  1.0314
3864068, 50.1040, -2.7408,1174715260.0000, 76.8281,  0.0143, 67.3127, 76.0886
3873360,  8.2563,-50.2317,1190945920.0000, 50.4677,  0.0112, 17.5812, 33.4728
3882351, 47.0612, 14.1298,1873403780.0000, 75.7552,  0.0160, 83.8983, 69.2562
3911889, 15.7200,-48.1943,1510626430.0000, 82.5792,  0.0159, 16.0526, 51.3934
4006603, 44.5059,-52.8699,1375538940.0000, 63.2326,  0.0151, 18.3407, 75.7057
4181006, 39.0962,-54.6336,2119138560.0000, 78.0359,  0.0143, 13.6527, 75.3456
4379740,  2.6503, -4.2042,1384133120.0000, 87.7090,  0.0153, 57.4097, 30.8828
4386400, 40.9424,-25.0886,1776284420.0000, 88.1739,  0.0137, 41.9980, 74.7696
4768757, -6.3863,-41.3885,1772892160.0000, 65.6125,  0.0112, 22.1148, 21.5806
4832592, 40.6222,-15.6120,1263528580.0000, 72.6805,  0.0134, 53.6698, 67.4521
4943009, 22.9120, 32.0101,1162079360.0000, 78.0391,  0.0143, 97.9544, 41.4996
5036389,-13.0501,-13.0371,1663606140.0000, 84.7013,  0.0109, 46.7405, 15.3927
5436535,-14.7956,-17.8492,1300683140.0000, 77.4885,  0.0125, 42.7194, 12.1557
5717565, 27.2834, 29.5123,1387665410.0000, 79.9523,  0.0105, 95.8122, 47.1463
8344622,-26.5134,-49.3807,5755167200.0000, 90.0789,  0.0187,  7.6710, 10.4166
8434414,  8.1162,-51.2211,2958602240.0000, 81.4861,  0.0181, 12.0839, 43.7645
8537899, 68.2035, 23.1841,31736995800.0000, 74.4322,  0.0237, 96.2029, 88.9019
8539536, 68.0921, 23.8386,8341068800.0000, 74.5726,  0.0183, 96.8209, 88.7038
8570184, 41.8040,-50.6825,28034478100.0000, 63.1439,  0.0216, 20.1500, 72.4497
8641615, -9.2235, 22.0808,12449634300.0000, 73.6345,  0.0200, 84.0131,  8.7640
8692370, 41.6486,  2.4617,6313945100.0000, 78.2593,  0.0164, 71.0849, 66.7875
8693116, 41.5770,  2.4362,2415277570.0000, 78.2753,  0.0130, 71.0468, 66.7239
8693710, 42.2474,  2.7080,8364842000.0000, 78.1454,  0.0185, 71.4343, 67.3208
8832241, 54.3675,-11.8650,21442629600.0000, 40.2914,  0.0212, 64.0914, 70.2370
8895813,-14.6607,-17.2786,29511589900.0000, 77.7238,  0.0191, 43.2754, 12.2603
