id,SM,SM2,Metal,u_minus_r,g_minus_r,x,y,z,Velx,Vely,Velz
2066277,3.30206848E8,3.30206848E8,0.08771026,3.324976,0.9948616,74.2808,31.244139,64.01783,30.69181,-192.03554,-370.8876
24198872,3.21103936E8,3.21103936E8,0.03017069,2.6970377,0.8549347,52.313465,4.977272,20.095263,1059.7876,-456.04074,176.1083
17834798,3.32190976E8,3.32190976E8,0.031703886,1.6211662,0.37327003,13.548575,96.60893,42.05344,-85.893326,-325.35565,94.95539
22098387,4.16777856E8,4.16777856E8,0.036067687,2.599227,0.8196001,43.766773,77.44273,35.102238,-244.99738,427.47928,-365.9175
25994993,5.8116218E8,5.8116218E8,0.04901227,2.9170809,0.9158182,78.00687,30.450161,56.041973,910.3346,-98.88603,-193.29646
26161350,3.24430272E8,3.24430272E8,0.030531175,2.6119194,0.8336916,6.4164386,52.69993,50.36112,-284.17322,-85.06336,-52.82669
23384532,3.39776288E8,3.39776288E8,0.019652504,2.4733171,0.7909126,13.825148,78.57864,53.738186,304.2305,-29.13042,-321.26395
24475,7.8373062E8,7.8373062E8,0.06829348,3.2028303,0.98127556,11.179398,80.589424,54.743313,387.07407,-637.825,-333.04648
17539087,3.64089728E8,3.64089728E8,0.033499535,2.4698439,0.77216244,35.162598,94.22405,64.6671,-154.25949,-318.11786,-199.36758
25651815,4.9937024E8,4.9937024E8,0.026658207,2.5958805,0.8253288,24.557995,66.11331,9.893945,-225.16096,-229.14679,437.3122
8446231,4.14000864E8,4.14000864E8,0.03256501,0.9799442,0.24805832,70.63142,81.68876,51.124237,7.598048,-203.77565,-246.9546
26156997,3.20704576E8,3.20704576E8,0.024145775,2.4079723,0.7603111,7.33486,53.09702,50.48507,243.9002,23.517366,148.49913
26242800,3.51423424E8,3.51423424E8,0.025973693,2.5562096,0.8133583,13.449351,98.46111,59.53691,67.92617,168.67126,-157.07672
10964508,4.24616192E8,4.24616192E8,0.031433452,2.5890617,0.8192377,48.90065,99.709496,83.2049,65.086815,-123.590775,61.890755
26063011,4.15978208E8,4.15978208E8,0.031875886,2.4863882,0.78205776,99.76401,71.176956,35.832684,154.56561,-247.98508,605.1504
20754426,3.24880544E8,3.24880544E8,0.024092564,2.4247665,0.769578,82.516914,37.587353,8.78126,-347.97476,-14.065615,80.658806
15489864,4.81711584E8,4.81711584E8,0.039092295,1.0223675,0.33665276,54.128506,92.52218,34.36944,478.86572,-129.54713,32.99232
28716311,3.80666048E8,3.80666048E8,0.020267727,2.348979,0.74489784,52.68765,13.207764,16.106396,214.55174,-304.1022,-19.991846
24645096,3.321424E8,3.321424E8,0.017042302,2.3283482,0.73637676,58.500854,33.961243,21.029572,831.15094,-163.82213,-344.08356
25404395,5.23437312E8,5.23437312E8,0.027598182,2.55618,0.81369114,79.97789,1.9060655,40.312954,192.98198,-778.10223,-325.01883
16451147,4.49470688E8,4.49470688E8,0.04031399,2.6611042,0.8399544,19.135954,20.789036,36.891193,46.2124,36.283123,41.34777
26706391,3.50870624E8,3.50870624E8,0.03210575,2.6132011,0.83500195,59.97188,44.86546,39.595535,-112.76094,-476.25024,-105.69966
23364840,3.29503648E8,3.29503648E8,0.021040507,2.470272,0.78930473,18.12531,79.90016,53.731884,-543.15717,-347.7202,-218.84111
18957810,3.29546752E8,3.29546752E8,0.02493275,2.5148,0.8024721,22.006643,78.5549,49.65879,83.83344,539.75916,-262.48672
24504228,6.7793325E8,6.7793325E8,0.030856991,2.6354609,0.8368025,76.093575,89.2281,41.93074,-610.65936,234.14925,-39.590008
26445484,3.44435424E8,3.44435424E8,0.022444963,2.4737082,0.7879782,96.5472,56.197132,96.612175,-320.04233,75.90087,377.66092
18442774,6.8445274E8,6.8445274E8,0.04052222,2.1300697,0.6064701,45.19758,12.898261,8.827642,287.55392,-80.4793,82.215195
20322233,6.7161146E8,6.7161146E8,0.023123521,2.569974,0.8141556,54.035267,48.477085,97.32629,231.25989,-263.78632,-204.73177
9638560,3.53309184E8,3.53309184E8,0.018241502,1.0032177,0.23430824,71.147194,3.8694868,87.91596,246.3293,213.3945,-158.64954
28254225,3.48670336E8,3.48670336E8,0.019562358,2.2544355,0.69868946,33.538113,8.966247,3.6456313,82.32426,233.14867,335.1789
9481534,4.14207424E8,4.14207424E8,0.04475991,0.20980644,-0.08413887,2.8406746,73.811874,47.598083,174.2487,-160.47404,-604.4236
25884676,4.44010432E8,4.44010432E8,0.023860538,2.483924,0.79411316,4.745213,59.5172,54.40774,-307.33554,-308.4039,188.90347
22092349,7.0744762E8,7.0744762E8,0.014719382,2.4655104,0.78211117,15.568706,78.11213,52.769527,206.82838,447.95508,588.41284
23654431,5.6225805E8,5.6225805E8,0.032520697,2.627737,0.83885956,5.716858,75.64329,47.477425,-647.1759,646.4516,-107.75557
19275868,1.07111872E9,1.07111872E9,0.024549024,2.6586332,0.8408642,58.076225,41.91365,89.64496,-354.4093,120.69017,-50.587685
24198593,3.826544E8,3.826544E8,0.018102348,2.390911,0.7636442,52.258434,5.3932815,20.36116,481.457,203.21466,657.2312
27760222,3.22213984E8,3.22213984E8,0.028226506,2.52353,0.8041878,29.89293,92.81884,38.018234,326.80002,-72.0436,252.96585
26301661,6.8863226E8,6.8863226E8,0.03662039,2.7003403,0.85622406,69.64141,55.421806,74.73887,-54.86095,16.85129,593.83
24197700,8.995033E8,8.995033E8,0.02451951,2.5753279,0.81897545,52.31468,4.9247127,19.973143,521.54425,865.82837,625.1061
28137777,6.4253011E8,6.4253011E8,0.031013563,2.3432932,0.7171173,77.14251,87.24185,46.05374,207.62842,20.684694,-531.9078
27018504,3.42947808E8,3.42947808E8,0.01526359,2.3786001,0.75861835,91.80991,14.398272,36.875423,-441.4214,-46.67404,327.08533
18474992,3.5612608E8,3.5612608E8,0.024973553,2.1225605,0.61433125,68.41736,65.87938,9.601707,-26.552767,53.843517,-175.51646
27818097,5.9717306E8,5.9717306E8,0.01993768,2.3936567,0.7605009,6.972926,55.0488,46.94196,-327.09778,366.8486,430.49878
17199214,7.6079942E8,7.6079942E8,0.035450976,2.6634226,0.84641933,66.40558,53.20026,84.343056,-207.54553,185.19627,-350.27106
24198424,3.23724512E8,3.23724512E8,0.014544438,2.3177252,0.7422056,52.85115,5.2519197,20.171005,772.3994,970.85175,225.36897
25471747,4.1862864E8,4.1862864E8,0.020606795,2.4152946,0.7725849,54.152214,35.904858,34.507458,-164.67508,230.35503,-655.0366
23653646,4.40357696E8,4.40357696E8,0.01856788,2.3866854,0.7649336,5.087158,76.11768,46.14871,323.7692,-388.15448,866.5734
20860776,5.392617E8,5.392617E8,0.021084981,2.4722834,0.7896843,69.272545,81.535164,87.38912,-87.799,154.71747,62.021526
25370586,8.4311603E8,8.4311603E8,0.030054407,2.6186676,0.8337841,82.30684,13.072104,57.869965,226.5531,288.5574,103.81105
18960048,5.4542413E8,5.4542413E8,0.0584786,0.20684052,-0.07978821,22.052752,78.538956,49.645126,-665.0952,-27.106813,-33.636932
25370913,9.2354419E8,9.2354419E8,0.036945883,2.7025156,0.8598242,82.29728,13.245022,57.959652,-52.43505,-108.976944,191.1544
27018022,1.15867789E9,1.15867789E9,0.040727764,2.7348557,0.86517715,91.821846,14.448741,36.872406,-74.14734,-578.29034,7.6065454
28648779,3.7528896E8,3.7528896E8,0.022563927,2.3997679,0.7592697,89.114746,0.37260097,19.166773,-403.9928,227.90836,191.12183
23318240,4.14266112E8,4.14266112E8,0.007197736,2.1797028,0.69963646,18.08879,79.58295,53.700783,-595.77655,-947.1201,-115.8443
